,loss,accuracy,val_loss,val_accuracy
0,6.490548610687256,0.33715277910232544,1.6416035890579224,0.41894444823265076
1,1.4455755949020386,0.48343056440353394,1.5213043689727783,0.4749999940395355
2,1.044374942779541,0.6358055472373962,1.7651143074035645,0.45872223377227783
3,0.6367698311805725,0.7864860892295837,2.0941202640533447,0.4642777740955353
4,0.33800414204597473,0.8930000066757202,2.601458787918091,0.4595000147819519
5,0.18756859004497528,0.9448472261428833,2.9294726848602295,0.4745555520057678
6,0.12032707035541534,0.9662083387374878,3.2806396484375,0.46372222900390625
7,0.08745457977056503,0.9756666421890259,3.5511083602905273,0.4697222113609314
8,0.0689711794257164,0.9815694689750671,3.801147937774658,0.47333332896232605
9,0.05995975807309151,0.9842777848243713,3.861117124557495,0.47527778148651123
